"Sites","Lat","Long","SSTmean_cont","SSTrange_cont","PrecMean_cont","PrecRange_cont","SSTmean_paleo","SSTrange_paleo","PrecMean_paleo","PrecRange_paleo"
"Hondeklip_Bay",-30.32,17.27,14.6814304008484,5.42212721672059,126.5264,23,13.5190625041723,3.76463542009393,155.590400000002,33.3084000000004
"Port_Elizabeth",-33.99,25.68,19.0945058860779,5.6899527885437,576.998000000001,23.9184000000001,19.7288429323307,4.66223139408206,608.686000000002,21.7600000000002
"Herolds_Bay",-34.06,22.4,18.1744619102478,7.32096569252015,671.400000000004,25.6000000000001,17.1688887278239,4.68222215440538,701.449999999991,46.4939999999985
"Herolds_Bay",-34.06,22.4,18.1744619102478,7.32096569252015,671.400000000004,25.6000000000001,17.1688887278239,4.68222215440538,701.449999999991,46.4939999999985
"Herolds_Bay",-34.06,22.4,18.1744619102478,7.32096569252015,671.400000000004,25.6000000000001,17.1688887278239,4.68222215440538,701.449999999991,46.4939999999985
"Swartvlei",-34.03,22.78,18.2326952362061,7.05906957626342,752.831999999994,20.5403999999995,17.33899974823,4.53550000190735,805.914399999997,46.0191999999991
"Knysna",-34.09,23.09,18.2799464904785,6.87773188591004,872.240000000004,28,17.5623528723623,4.4380391812792,896.209199999993,44.106799999999
"Knysna",-34.09,23.09,18.2799464904785,6.87773188591004,872.240000000004,28,17.5623528723623,4.4380391812792,896.209199999993,44.106799999999
"Knysna",-34.09,23.09,18.2799464904785,6.87773188591004,872.240000000004,28,17.5623528723623,4.4380391812792,896.209199999993,44.106799999999
"Knysna",-34.09,23.09,18.2799464904785,6.87773188591004,872.240000000004,28,17.5623528723623,4.4380391812792,896.209199999993,44.106799999999
"Knysna",-34.09,23.09,18.2799464904785,6.87773188591004,872.240000000004,28,17.5623528723623,4.4380391812792,896.209199999993,44.106799999999
"Knysna",-34.09,23.09,18.2799464904785,6.87773188591004,872.240000000004,28,17.5623528723623,4.4380391812792,896.209199999993,44.106799999999
